273|Hamamatsu Photonics K.K.|Company
274|Altair Engineering Inc.|Company
275|Coherent, Inc.|Company
276|SailPoint Technologies Holdings, Inc.|Company
277|Genpact Limited|Company
278|New Relic, Inc.|Company
279|MACOM Technology Solutions Holdings, Inc.|Company
280|Hangzhou First Applied Material Co. Ltd|Company
281|Stamps.com Inc.|Company
282|Smartsheet Inc.|Company
283|Bechtle AG|Company
284|Coupa Software Incorporated|Company
285|Inventec Corp|Company
286|AppFolio, Inc.|Company
287|DoubleVerify Holdings, Inc.|Company
288|Topicus.com, Inc.|Company
289|Soitec SA|Company
290|Qualtrics International Inc.|Company
291|Shift4 Payments, Inc.|Company
292|Insight Enterprises, Inc.|Company
293|eMemory Technology, Inc.|Company
294|Datto Holding Corp.|Company
295|Hua Hong Semiconductor Ltd|Company
296|ITOCHU Techno-Solutions Corp|Company
297|Shengyi Technology Co. Ltd|Company
298|Allegro MicroSystems, Inc.|Company
299|Novanta Inc.|Company
300|KnowBe4, Inc.|Company
301|GT Advanced Technologies, Inc.|Company
302|Silergy Corp|Company
303|Sensata Technologies Holding plc|Company
304|SG Micro Corp|Company
305|II-VI Incorporated|Company
306|Five9, Inc.|Company
307|Medallia, Inc.|Company
308|StoneCo Ltd.|Company
309|BayCurrent Consulting, Inc.|Company
310|TIS, Inc.|Company
311|Shinko Electric Industries Co. Ltd|Company
312|Compal Electronics, Inc.|Company
313|Lyft, Inc.|Company
314|Vontier Corporation|Company
315|Hangzhou Silan Microelectronics Co. Ltd|Company
316|GMO Payment Gateway, Inc.|Company
317|Alten SA|Company
318|Micro-Star International Co. Ltd|Company
319|Sumco Corp|Company
320|Giga-Byte Technology Co. Ltd|Company
321|Dun & Bradstreet Holdings, Inc.|Company
322|Shanghai Friendess Electronic Technology Corp Ltd|Company
323|Tenable Holdings, Inc.|Company
324|Seiko Epson Corp|Company
325|Nan Ya Printed Circuit Board Corp|Company
326|Workiva Inc.|Company
327|Yealink Network Technology Co. Ltd|Company
328|CMC Materials, Inc.|Company
329|ExlService Holdings, Inc.|Company
330|AU Optronics Corp|Company
331|SolarEdge Technologies, Inc.|Company
332|KPIT Technologies Ltd|Company
333|Thunder Software Technology Co.,Ltd.|Company
334|Spectris plc|Company
335|McAfee Corp.|Company
336|TravelSky Technology Ltd|Company
337|IPG Photonics Corporation|Company
338|Kingdee International Software Group Co Ltd|Company
339|Sharp Corp|Company
340|Reply S.p.A.|Company
341|Worldline SA|Company
342|Brooks Automation, Inc.|Company
343|Suzhou Maxwell Technologies Co. Ltd|Company
344|Suzhou TFC Optical Communication Co. Ltd|Company
345|Innolux Corp|Company
346|Acer, Inc.|Company
347|NEXTDC Limited|Company
348|Xinyi Solar Holdings Ltd|Company
349|Anker Innovations Ltd|Company
350|Varonis Systems, Inc.|Company
351|Changsha Jingjia Microelectronics Co. Ltd|Company
352|Eoptolink Technology, Inc. Ltd|Company
353|Euronet Worldwide, Inc.|Company
354|Universal Scientific Industrial|Company
355|Powerchip Semiconductor Manufacturing Corp|Company
356|Power Integrations, Inc.|Company
357|WPG Holdings Ltd|Company
358|Blackbaud, Inc.|Company
359|DXC Technology Company|Company
360|Sopra Steria Group SA|Company
361|Endava plc|Company
362|Avnet, Inc.|Company
363|AIXTRON SE|Company
364|Chicony Electronics Co. Ltd|Company
365|Shanghai Aiko Solar Energy Co. Ltd|Company
366|StarPower Semiconductor Ltd|Company
367|Synaptics Incorporated|Company
368|Ingenic Semiconductor Co.,Ltd.|Company
369|SHIFT, Inc.|Company
370|Vanguard International Semiconductor Corp|Company
371|Cirrus Logic, Inc.|Company
372|China National Software & Service Company Ltd|Company
373|SimCorp A-S|Company
374|Teradata Corporation|Company
375|Shenzhen Goodix Technology Co. Ltd|Company
376|FireEye, Inc.|Company
377|ASMedia Technology, Inc.|Company
378|Asia Vital Components Co. Ltd|Company
379|Elite Material Co. Ltd|Company
380|Computacenter plc|Company
381|Sunrun Inc.|Company
382|PagSeguro Digital Ltd.|Company
383|Sangfor Technologies, Inc.|Company
384|TOTVS SA|Company
385|Hisense Visual Technology Co. Ltd|Company
386|Vertex, Inc.|Company
387|Axcelis Technologies, Inc.|Company
388|Altium Limited|Company
389|Hengtong Optic-Electric Co. Ltd|Company
390|ManTech International Corporation|Company
391|Winbond Electronics Corp|Company
392|Hirose Electric Co.,Ltd.|Company
393|Hyundai Autoever Corp|Company
394|ASPEED Technology, Inc.|Company
395|GCL-Poly Energy Holdings Ltd|Company
396|Silicon Laboratories Inc.|Company
397|Maxar Technologies Inc.|Company
398|Asana, Inc.|Company
399|Pegasystems Inc.|Company
400|Cornerstone OnDemand, Inc.|Company
401|nCino, Inc.|Company
402|Melexis NV|Company
403|ASM Pacific Technology Ltd|Company
404|LG Display Co. Ltd|Company
405|Sino-American Silicon Products, Inc.|Company
406|NCR Corporation|Company
407|ALSO Holding AG|Company
408|Box, Inc.|Company
409|VisEra Technologies Company Ltd|Company
410|Lotes Co. Ltd|Company
411|Qi An Xin Technology Group, Inc.|Company
412|Zhonghang Electronic Measuring Instruments Co. Ltd|Company
413|WT Microelectronics Co. Ltd|Company
414|Tower Semiconductor Ltd.|Company
415|Softcat plc|Company
416|Fuzhou Rockchip Electronics Co.,Ltd.|Company
417|EchoStar Corporation|Company
418|BlackLine, Inc.|Company
419|Alteryx, Inc.|Company
420|Amlogic|Company
421|Zhen Ding Technology Holding Ltd|Company
422|INFICON Holding AG|Company
423|OBIC Business Consultants Co. Ltd|Company
424|Lumentum Holdings Inc.|Company
425|Nuvei Corporation|Company
426|Diodes Incorporated|Company
427|Viasat, Inc.|Company
428|Mercell Holding ASA|Company
429|Celestica Inc.|Company
430|Caihong Display Devices Co.,Ltd.|Company
431|Beijing Compass Technology Development Co. Ltd|Company
432|Rinnai Corp|Company
433|TianJin 712 Communication & Broadcasting Co. Ltd|Company
434|Renishaw plc|Company
435|King Yuan Electronics Co. Ltd|Company
436|JFrog Ltd.|Company
437|Tsinghua Tongfang Co. Ltd|Company
438|Technology One Limited|Company
439|Riot Blockchain, Inc.|Company
440|Gold Circuit Electronics Ltd|Company
441|Taiyo Yuden Co. Ltd|Company
442|AAC Technologies Holdings, Inc.|Company
443|Sichuan Changhong Electric Co.,Ltd.|Company
444|Sprinklr, Inc.|Company
445|Powertech Technology, Inc.|Company
446|Commvault Systems, Inc.|Company
447|Tripod Technology Corp|Company
448|Itron, Inc.|Company
449|Jentech Precision Industrial Co. Ltd|Company
450|Faraday Technology Corp|Company
451|Phison Electronics Corp|Company
452|Hangzhou Changchuan Technology Co.,Ltd|Company
453|Vishay Intertechnology, Inc.|Company
454|C3.ai, Inc.|Company
455|ACI Worldwide, Inc.|Company
456|VeriSilicon Microelectronics|Company
457|Rapid7, Inc.|Company
458|Rakus Co. Ltd|Company
459|HORIBA Ltd|Company
460|Sprout Social, Inc.|Company
461|Nihon Unisys Ltd|Company
462|Chindata Group Holdings Limited|Company
463|Shanghai Fudan Microelectronics Group Company Ltd|Company
464|Alarm.com Holdings, Inc.|Company
465|Camtek Ltd.|Company
466|Venture Corp Ltd|Company
467|DigitalOcean Holdings, Inc.|Company
468|Qisda Corp|Company
469|Wuhan Jingce Electronic Group Co. Ltd|Company
470|Ziff Davis, Inc.|Company
471|Darktrace plc|Company
472|NS Solutions Corp|Company
473|J2 Global, Inc.|Company
474|Siltronic AG|Company
475|SoftwareONE Holding AG|Company
476|Jiangsu Goodwe Power Supply Technology Co.,Ltd.|Company
477|EVO Payments, Inc.|Company
478|Beijing E-Hualu Information Technology Co. Ltd|Company
479|Chroma ATE, Inc.|Company
480|Kinaxis Inc.|Company
481|Software AG|Company
482|Shenzhen Sunway Communication Co. Ltd|Company
483|FormFactor, Inc.|Company
484|RingCentral, Inc.|Company
485|Guangdong Hec Technologyholding Co. Ltd|Company
486|Fangda Carbon New Material Technology Co. Ltd|Company
487|Kulicke and Soffa Industries, Inc.|Company
488|Plexus Corp.|Company
489|Carel Industries S.p.A.|Company
490|Jiangsu Hoperun Software Co. Ltd|Company
491|Calix, Inc.|Company
492|Lightspeed POS Inc.|Company
493|Sanmina Corporation|Company
494|AP Memory Technology Corp|Company
495|Dometic Group AB|Company
496|Parade Technologies Ltd|Company
497|Mycronic AB|Company
498|Vocera Communications, Inc.|Company
499|Lagercrantz Group AB|Company
500|TietoEVRY Oyj|Company
501|Harvard University|University
502|Massachusetts Institute of Technology|University
503|Stanford University|University
504|University of Cambridge|University
505|California Institute of Technology|University
506|Princeton University|University
507|University of Oxford|University
508|Yale University|University
509|Columbia University|University
510|University of California, Berkeley|University
511|University of Chicago|University
512|Cornell University|University
513|University of Pennsylvania|University
514|University of Tokyo|University
515|Johns Hopkins University|University
516|Swiss Federal Institute of Technology in Zurich|University
517|Kyoto University|University
518|Weizmann Institute of Science|University
519|University of California, Los Angeles|University
520|University of California, San Diego|University
521|Rockefeller University|University
522|Hebrew University of Jerusalem|University
523|New York University|University
524|University of California, San Francisco|University
525|University of Wisconsin–Madison|University
526|University of Illinois at Urbana–Champaign|University
527|Duke University|University
528|Imperial College London|University
529|University of Texas Southwestern Medical Center|University
530|University of Texas at Austin|University
531|University College London|University
532|Osaka University|University
533|Northwestern University|University
534|University of Michigan, Ann Arbor|University
535|University of Toronto|University
536|University of North Carolina at Chapel Hill|University
537|Washington University in St. Louis|University
538|University of Utah|University
539|University of Washington - Seattle|University
540|University of California, Santa Barbara|University
541|McGill University|University
542|Purdue University, West Lafayette|University
543|Carnegie Mellon University|University
544|University of Southern California|University
545|University of California, Davis|University
546|University of Colorado Boulder|University
547|University of California, Irvine|University
548|University of Paris-Sud|University
549|University of Minnesota, Twin Cities|University
550|University of Arizona|University
551|Technion – Israel Institute of Technology|University
552|Ohio State University, Columbus|University
553|University of Rochester|University
554|École normale supérieure - Paris|University
555|University of Florida|University
556|Tel Aviv University|University
557|Rice University|University
558|Dartmouth College|University
559|Vanderbilt University|University
560|University of Edinburgh|University
561|École Polytechnique|University
562|Boston University|University
563|Pierre-and-Marie-Curie University|University
564|Pennsylvania State University, University Park|University
565|University of Geneva|University
566|Brown University|University
567|University of British Columbia|University
568|University of Maryland, College Park|University
569|Swiss Federal Institute of Technology in Lausanne|University
570|Karolinska Institute|University
571|University of Pittsburgh - Pittsburgh Campus|University
572|Rutgers University-New Brunswick|University
573|Texas A&M University, College Station|University
